wdid,spectype,teff,logg
2MASS J08555559+1900046,DA+M,19193.0,7.64
2MASS J08561241+1437570,DA+M,11565.0,7.04
2MASS J08563156+0305547,DA+M,18542.0,7.9
2MASS J08574143+1539060,DA+M,27425.0,7.82
2MASS J08584400+1951521,DA+M,17505.0,7.75
2MASS J08591127+0435071,DA+M,18120.0,7.98
2MASS J09030286+3855274,DA+dCe,10080.0,8.01
2MASS J09040905+4227022,DA+M,25891.0,7.9
2MASS J09043729+2254392,DA+M,18756.0,7.83
2MASS J09043983+5621421,DA+M,8944.0,8.307
2MASS J09050539+0548116,DA+M,29387.0,8.0
2MASS J09063859+0700598,DA,17262.0,7.956
2MASS J09071236+3643184,DA,8632.0,8.257
2MASS J09081205+0604211,DA+M,17505.0,7.44
2MASS J09090352+3702067,DA+M,20331.0,7.98
2MASS J09092543+5337006,DA+M,19640.0,7.85
2MASS J09104052+0145482,DA+M,25595.0,7.51
2MASS J09113224+3036053,DA+M,12681.0,8.05
2MASS J09121638+2344426,DA+M,30071.0,8.08
2MASS J09130445+0114179,DA+M,20331.0,7.51
2MASS J09130970+2233469,DA+M,14065.0,8.6
2MASS J09150822+4155594,DA+M,27743.0,7.64
2MASS J09151342+3137131,DA+M,10793.0,8.22
2MASS J09160148-0031299,DA+M,17707.0,8.19
2MASS J09160189+2259476,DA,5794.0,8.153
2MASS J09162551+4415574,DA+M,18756.0,7.64
2MASS J09171217+2154259,DA+M,11835.0,7.23
2MASS J09184954+5456018,DA+M,32972.0,7.6
2MASS J09191608+2944204,DA+M,30494.0,7.24
2MASS J09210410+4250446,DA+M,10856.0,7.313
2MASS J09213791+1613384,DA+M,6300.0,5.01
2MASS J09215764+1013514,DA+M,14560.0,8.28
2MASS J09220070+1817144,DA+M,10307.0,8.67
2MASS J09225751+2904163,DA+M,28718.0,7.82
2MASS J09243397+2040200,DA+M,9509.0,8.71
2MASS J09245163-0017364,DA+M,22037.0,7.9
2MASS J09245240+0024490,DA+M,19193.0,7.81
2MASS J09274174+3329592,DA+M,27111.0,7.91
2MASS J09293051+2846497,DA+M,21535.0,7.91
2MASS J09304593+2259571,DA+M,18974.0,7.97
2MASS J09312894+3941198,DA+M,16910.0,7.57
2MASS J09315566+3946076,DA+M,25012.0,8.08
2MASS J09321457+3452354,DA+M,31488.0,7.87
2MASS J09323683+0530267,DA+M,10918.0,8.67
2MASS J09343247+0313482,DA+M,31278.0,7.66
2MASS J09344128+3050260,DA+M,13279.0,8.35
2MASS J09352642+2454237,DA+M,15096.0,8.685
2MASS J09363235+3419326,DA+M,9401.0,8.69
2MASS J09363642+6256063,DA+M,9931.0,7.78
2MASS J09372642+0630011,DAM,7785.0,6.898
2MASS J09391849+5729013,DA+M,13904.0,7.61
2MASS J09393661+3734353,DA+M,15601.0,7.87
2MASS J09395928+3801392,DA+M,20098.0,8.05
2MASS J09400240+5342029,DA+M,6300.0,10.0
2MASS J09403523+5200073,DA+M,19640.0,7.92
2MASS J09410187+0622211,DA+M,24163.0,8.04
2MASS J09410189+5107203,DA+M,19193.0,7.81
2MASS J09440217+6143078,DA+M,29218.0,7.805
2MASS J09454260+1739001,DA+M,6300.0,10.0
2MASS J09463451+2030036,DA+M,10307.0,8.03
2MASS J09463729+6312277,DA+dMe,6300.0,10.0
2MASS J09464035+2337337,DA+M,16336.0,8.0
2MASS J09474454+1233385,DA+M,12976.0,7.84
2MASS J09482131+3659353,DA+dMe,6300.0,8.73
2MASS J09485008+1319275,DA,6815.0,8.04
2MASS J09485392+5739578,DA+M,39567.0,7.66
2MASS J09493551+4834053,DA+M,10091.0,7.98
2MASS J09510873+0255075,DA+M,12976.0,7.7
2MASS J09510893+0406022,DA+M,60058.0,7.49
2MASS J09525012+3243290,DA+M,9844.0,8.28
2MASS J09525044+1553041,DA+M,20192.0,6.89
2MASS J09530866+4813446,DA+M,16336.0,8.04
2MASS J09534504+1258295,DA,11919.0,7.985
2MASS J09542257+4323252,DA+M,23076.0,7.85
2MASS J09542310+2404110,DA+K,32972.0,7.85
2MASS J09551069+1802151,DA,10948.0,7.989
2MASS J09563219-0033409,DA+M,6300.0,10.0
2MASS J09570594+6152547,DA+M,37944.0,7.66
2MASS J09572384+0207349,DA+M,9249.0,7.969
2MASS J09573758+3001364,DA+M,28064.0,7.51
2MASS J09595353-0115040,DA+M,12110.0,7.39
2MASS J10001518+3043306,DA+M,14560.0,8.5
2MASS J10002722+1101408,DA+M,8773.0,8.07
2MASS J10013122+3203231,DA+M,11972.0,8.01
2MASS J10050339+2112039,DA+M,20685.0,8.01
2MASS J10052993+5219378,DA+M,16346.0,7.615
2MASS J10060916+0044169,DAM,7547.0,8.011
2MASS J10072113+3008519,DA+M,9401.0,8.17
2MASS J10074110+4041260,DA+M,17505.0,7.7
2MASS J10090559+0244416,DAM,12756.0,8.011
2MASS J10104689+1713489,DA+M,6218.0,6.524
2MASS J10112352+2952023,DA+M,13745.0,8.18
2MASS J10141450+0401369,DA,7468.0,7.971
2MASS J10143597+4226228,DA,7799.0,8.456
2MASS J10145164+4541479,DA+dM,4000.0,7.455
2MASS J10150105+1850062,DA+M,11835.0,8.06
2MASS J10161266+3242394,DA+M,12392.0,7.52
2MASS J10164526+1920542,DA,12030.0,7.95
2MASS J10164722-0109072,DAM,15736.0,7.948
2MASS J10172255+2926248,DA?,48497.0,8.12
2MASS J10174168-0029337,DA,14341.0,8.004
2MASS J10180431+2533080,DA+M,34298.0,7.75
2MASS J10192284+2854008,DA+M,26651.0,8.14
2MASS J10195468+5317367,DAM,17071.0,7.772
2MASS J10201454+3553213,DA+M,9456.0,7.665
2MASS J10203207+0246221,DA+M,18756.0,7.09
2MASS J10210225+1744399,DA+M,32595.0,8.7
2MASS J10220594+0802463,DA+M,22811.0,7.79
2MASS J10221035+4612491,DA,7187.0,8.208
2MASS J10221347+2941200,DA+M,13857.0,9.15
2MASS J10233423+0427221,DA+M,16149.0,7.83
2MASS J10243847+1624582,DA+M3,6300.0,5.0
2MASS J10251535+1749379,DA+M,22550.0,7.82
2MASS J10262322+1629382,DA+M,19868.0,7.27
2MASS J10262770+3017102,DA+M,18331.0,7.915
2MASS J10275006+2712441,DA+M,23076.0,8.04
2MASS J10280776-6327128,DAZ?,,
2MASS J10285778+0931300,DA+M,15782.0,8.34
2MASS J10302465+4641103,DA+dM,20758.0,5.01
2MASS J10312192+2023144,DA+M,12888.0,7.91
2MASS J10320984+3722476,DA+M,14560.0,7.71
2MASS J10342616+1516063,DA+M,15601.0,7.95
2MASS J10350120+1042212,DA+M,8282.0,8.38
2MASS J10351480+3907183,DA+M,25302.0,8.11
2MASS J10374361+6554482,DA+M,14065.0,7.42
2MASS J10383723+0150585,DAM,24311.0,7.316
2MASS J10395262+2854220,DA+M,23089.0,7.68
2MASS J10401302+2525599,DA+M,10073.0,8.11
2MASS J10405749+0834217,DA+M,10922.0,8.23
2MASS J10410382+2019449,DA+M,19640.0,7.73
2MASS J10414255+3919002,DA+M,21785.0,7.88
2MASS J10421910+4429161,DA+M,21705.0,7.837
2MASS J10431867+3050132,DA+M,15246.0,7.78
2MASS J10434695+4025553,DA+M,15964.0,7.81
2MASS J10435862+0603210,DA+M,11173.0,8.19
2MASS J10444792+1943108,DA,7570.0,7.083
2MASS J10445935+3605548,DA+M,8187.0,9.09
2MASS J10451775-0018339,DA+M,17707.0,7.73
