wdid,spectype,teff,logg
Gaia DR3 5014566114139615360,DA,6763.0,8.271
Gaia DR3 5014581335503973120,DA,13976.0,7.806
Gaia DR3 5014586077147828480,DA,8566.0,7.945
Gaia DR3 5014654113726078080,DA,12999.0,7.881
Gaia DR3 5014678436124578304,DA,20294.0,7.931
Gaia DR3 5014743376030204672,DA,21919.0,7.94
Gaia DR3 5014743758283466496,DA,41312.0,7.811
Gaia DR3 5014759460682462080,DA,8047.0,8.174
Gaia DR3 5014971559052449792,DA,8510.0,8.003
Gaia DR3 5015089348532586240,DA,8409.0,8.035
Gaia DR3 5015096903378206720,DA,10654.0,8.078
Gaia DR3 5015112163396988032,DA,21124.0,8.045
Gaia DR3 5015168032333380736,DA,7894.0,8.126
Gaia DR3 501527316883771520,DA,8648.0,8.163
Gaia DR3 5015329415727477376,DA,11748.0,7.872
Gaia DR3 5015369341744026752,DA,7117.0,8.606
Gaia DR3 5015458647000212608,DA,14554.0,7.632
Gaia DR3 5015473142513315712,DA,14933.0,8.297
Gaia DR3 5015580585414951808,DA,7653.0,8.125
Gaia DR3 5015695316878047232,DA,5634.0,7.128
Gaia DR3 5015702910380248704,DA,15778.0,7.887
Gaia DR3 501570369636988544,DA,18406.0,7.91
Gaia DR3 5015959813847816960,DA,18304.0,7.721
Gaia DR3 5016109970198956288,DA,6791.0,8.267
Gaia DR3 5016333132404955136,DA,13054.0,7.992
Gaia DR3 5016367359000748800,DA,10845.0,7.816
Gaia DR3 5016429343968784512,DA,5891.0,7.837
Gaia DR3 5016441984059838208,DA,11187.0,7.578
Gaia DR3 5016480883576617472,DA,17967.0,8.034
Gaia DR3 5016538122603815552,DA,8845.0,7.972
Gaia DR3 501659670596069888,DA,14026.0,8.086
Gaia DR3 5016606292324793984,DA,6120.0,8.185
Gaia DR3 5016683743469897984,DA,16494.0,7.022
Gaia DR3 5016687316882892032,DA,6726.0,7.89
Gaia DR3 5016738581612510336,DA:,5107.0,8.239
Gaia DR3 5016739578046495360,DA,6284.0,8.389
Gaia DR3 5016871446426369408,DA:,7761.0,8.505
Gaia DR3 5016927933835836416,DA,8847.0,8.224
Gaia DR3 5017118836542029056,DA,6129.0,7.916
Gaia DR3 5017150894177825280,DA,7859.0,8.396
Gaia DR3 5017210100303920128,DA,12450.0,7.834
Gaia DR3 5017231845721567744,DA,12983.0,7.934
Gaia DR3 5017280606486709120,DA,14381.0,7.937
Gaia DR3 5017329397313930624,DA,8386.0,7.595
Gaia DR3 501742958601682432,DA,30206.0,8.538
Gaia DR3 5017446044330440448,DA,13325.0,7.652
Gaia DR3 5017591867060791552,DA,7318.0,7.821
Gaia DR3 501769793557597056,DA,11871.0,8.061
Gaia DR3 501771889501747840,DA,6511.0,8.225
Gaia DR3 5017720067540910592,DA,12194.0,8.006
Gaia DR3 5017883379377838336,DA,10857.0,8.027
Gaia DR3 5017978521493396480,DA,12997.0,7.908
Gaia DR3 5017994155174373120,DA,9070.0,8.117
Gaia DR3 5018075759550468608,DA,10266.0,7.981
Gaia DR3 501808757500919296,DA,13724.0,8.534
Gaia DR3 5018148121161428096,DA:,10364.0,7.985
Gaia DR3 5018184950504343936,DA,8384.0,7.863
Gaia DR3 5018223124173737344,DA,6661.0,7.966
Gaia DR3 5018236838005550848,DA,9135.0,8.524
Gaia DR3 5018323699424766592,DA,6622.0,7.977
Gaia DR3 5018531537185291264,DA,6847.0,6.856
Gaia DR3 501869093202419584,DA,6899.0,7.957
Gaia DR3 5018760957158348288,DA,6521.0,8.177
Gaia DR3 501889266665313536,DA,16050.0,7.834
Gaia DR3 5018906470650378368,DA,7425.0,8.543
Gaia DR3 5018980103569897728,DA,11452.0,7.91
Gaia DR3 5018998554749603712,DA,10081.0,8.094
Gaia DR3 501909435831807104,DA,13584.0,8.532
Gaia DR3 501910737204155648,DA,9153.0,8.409
Gaia DR3 5019160084174084352,DA:,9230.0,8.488
Gaia DR3 5019204060344397056,DA,27265.0,8.202
Gaia DR3 5019242577611332480,DA:,9675.0,8.19
Gaia DR3 5019371667148534272,DA,5987.0,8.031
Gaia DR3 5019466877983638784,DA,6744.0,8.042
Gaia DR3 5019607959069304320,DA,20942.0,7.804
Gaia DR3 502001756151703680,DA,20541.0,7.873
Gaia DR3 5020051066549494912,DA,7895.0,7.766
Gaia DR3 502044778839257472,DA,11317.0,7.969
Gaia DR3 5021102337104934912,DA,7939.0,7.833
Gaia DR3 5021314023158272896,DA,5918.0,7.958
Gaia DR3 502149159428693504,DA,11918.0,8.587
Gaia DR3 5022019909622778368,DA,18520.0,7.934
Gaia DR3 502202215162812800,DA,8369.0,8.378
Gaia DR3 5022137935324458368,DA,8660.0,7.855
Gaia DR3 502233585601231744,DA:,8723.0,8.098
Gaia DR3 502233585603718400,DA,9867.0,7.918
Gaia DR3 5022447310408670208,DA,26219.0,7.899
Gaia DR3 5022514140099638912,DA,7250.0,7.246
Gaia DR3 502253239374060032,DA,22415.0,7.577
Gaia DR3 5022671542061400192,DA,6399.0,7.503
Gaia DR3 5022884331921127040,DA,14484.0,7.52
Gaia DR3 5022885740670450176,DA,9481.0,7.932
Gaia DR3 502305019497598848,DA,8543.0,8.169
Gaia DR3 5023371449931717248,DA,40457.0,7.859
Gaia DR3 502345014234766848,DA,5132.0,7.378
Gaia DR3 5023527408784737920,DA,9164.0,8.156
Gaia DR3 5023534315092180096,DA,10664.0,7.587
Gaia DR3 5023804176476559872,DA,6124.0,7.571
Gaia DR3 5023913852761423104,DA,18497.0,7.962
Gaia DR3 502403558931854592,DA,15676.0,7.761
Gaia DR3 502430020227069952,DA,11399.0,8.238
Gaia DR3 5024426053381340288,DA,5735.0,7.536
Gaia DR3 5024519962841933056,DA,5089.0,6.743
Gaia DR3 502478360082435840,DA,9989.0,8.115
Gaia DR3 5025452997242301696,DA,6736.0,7.994
Gaia DR3 5025464507753924608,DA,7025.0,8.037
Gaia DR3 5025827587109186688,DA,16095.0,8.007
Gaia DR3 5025978941756847488,DA,11729.0,8.042
Gaia DR3 5026259871273801088,DA,5780.0,7.807
Gaia DR3 5026281655347976448,DA:,5175.0,7.929
Gaia DR3 5026295807264196352,DA,25203.0,7.631
Gaia DR3 5026325292215909120,DA,6800.0,8.304
Gaia DR3 5026365969849831168,DA,14449.0,7.174
Gaia DR3 5026384489748719616,DA,5205.0,7.774
Gaia DR3 5026476956099994496,DA,12582.0,7.763
Gaia DR3 5026515159833966464,DA,9615.0,7.985
Gaia DR3 502659504623621632,DA,11390.0,8.04
Gaia DR3 502661948459253376,DA,7938.0,8.11
Gaia DR3 5026737845298554112,DA,6180.0,7.584
Gaia DR3 5026780318229911680,DA,14912.0,8.146
Gaia DR3 5026804232609225216,DA,15973.0,7.414
Gaia DR3 5026815914919905920,DA,29451.0,7.328
Gaia DR3 5026827936532111232,DA,24465.0,7.905
Gaia DR3 5027277258831017472,DA,13558.0,8.023
Gaia DR3 5027355908272211840,DA,22312.0,8.326
Gaia DR3 5027384259352250240,DA,12703.0,7.596
Gaia DR3 5027405699829057408,DA,15980.0,7.616
Gaia DR3 5027733732251400960,DA,10106.0,8.387
Gaia DR3 5027777158664280192,DA,10016.0,7.889
Gaia DR3 5027821929403811712,DA,6352.0,7.265
Gaia DR3 5027862886211727744,DA,8612.0,8.23
Gaia DR3 502801616500512640,DA,7591.0,7.872
Gaia DR3 5028230230470630528,DA,8348.0,8.107
Gaia DR3 5028311766129780992,DA,7004.0,8.057
Gaia DR3 5028499537804493312,DA,26216.0,7.741
Gaia DR3 5028601109486748544,DA,20089.0,8.069
Gaia DR3 5028681747496758656,DA,11378.0,8.674
Gaia DR3 5028768510130535808,DA,7187.0,8.247
Gaia DR3 5028829528731279104,DA,10075.0,8.02
Gaia DR3 5028886772055321600,DA,5581.0,7.975
Gaia DR3 5028963772229244032,DA,6345.0,8.146
Gaia DR3 5029104166120051072,DA,34185.0,7.087
Gaia DR3 5029149662709768704,DA,6869.0,8.101
Gaia DR3 5029149662709768832,DA,9945.0,8.241
Gaia DR3 5029151857437559936,DA,6457.0,8.405
Gaia DR3 5029260644663277440,DA,9414.0,8.652
Gaia DR3 5029260644663277696,DA,5626.0,8.248
Gaia DR3 5029550086804639488,DA,14322.0,7.971
Gaia DR3 5029560360366429952,DA:,7839.0,7.074
Gaia DR3 5029961579030931456,DA,6250.0,8.088
Gaia DR3 5030191514400752384,DA,7839.0,7.597
Gaia DR3 503037809639593600,DA,18507.0,7.905
Gaia DR3 503075085658413952,DA,12361.0,7.462
Gaia DR3 5030985155636907520,DA,16805.0,8.842
Gaia DR3 5031154789665371264,DA,8742.0,8.194
Gaia DR3 5031304529405213184,DA,5257.0,7.995
Gaia DR3 5031587206972821376,DA:,8356.0,8.195
Gaia DR3 503196890931419648,DA,17675.0,7.972
Gaia DR3 5032162354635312512,DA,11334.0,8.434
Gaia DR3 5032506295614272640,DA,7307.0,6.923
Gaia DR3 5032527121910786304,DA,6655.0,7.847
Gaia DR3 503257879466328192,DA,10399.0,7.271
Gaia DR3 503279908354671616,DA,7149.0,7.842
Gaia DR3 5032820618501480576,DA,8545.0,8.171
Gaia DR3 503287806799116032,DA,20957.0,7.886
Gaia DR3 5032887757430025984,DA,6958.0,7.956
Gaia DR3 5033414217343062528,DA,10327.0,7.687
Gaia DR3 5033765446881469056,DA,19544.0,8.025
Gaia DR3 5033804681408248064,DA,6639.0,7.819
Gaia DR3 5033815745243554432,DA,20757.0,7.917
Gaia DR3 5033839900139638144,DA,21926.0,8.35
Gaia DR3 5033931090885411200,DA,6626.0,8.276
Gaia DR3 5034045646252836352,DA,7278.0,8.492
Gaia DR3 5034120516122888192,DA,8138.0,7.976
Gaia DR3 503427002396806784,DA,14997.0,8.009
Gaia DR3 5034331935889739520,DA,12161.0,7.989
Gaia DR3 503438817852470912,DA:,31912.0,7.438
Gaia DR3 5034399860796058624,DA,10768.0,8.0
Gaia DR3 5034734833885520256,DA,11037.0,7.536
Gaia DR3 5034747551284275968,DA,5169.0,7.986
Gaia DR3 5034858670678193536,DA,15747.0,7.936
Gaia DR3 5035157905344136576,DA,8249.0,8.63
Gaia DR3 503534926334848512,DA,15180.0,8.305
Gaia DR3 50354578833209984,DA,7500.0,8.422
Gaia DR3 5035522260304177152,DA,10325.0,8.155
Gaia DR3 5035718553194631808,DA,9305.0,7.887
Gaia DR3 5035842664865796992,DA,15875.0,7.933
Gaia DR3 5035999134818664192,DA,12497.0,8.072
Gaia DR3 5035999375336835584,DA,6463.0,8.054
Gaia DR3 5036139047673004544,DA,21442.0,8.095
Gaia DR3 5036843113072198144,DA,8004.0,8.146
Gaia DR3 5036883485764264192,DA,10422.0,8.013
Gaia DR3 5036901181029369216,DA,18151.0,8.223
Gaia DR3 503690747748508160,DA,7474.0,8.476
Gaia DR3 5036933998876082688,DA,15057.0,7.792
Gaia DR3 5036937121316117376,DA,9681.0,7.565
Gaia DR3 5036946570244148096,DA,18511.0,7.856
Gaia DR3 5036995292352915328,DA,11379.0,7.78
Gaia DR3 5037138297584409600,DA,22427.0,8.087
Gaia DR3 5037236910032991616,DA,6087.0,7.877
Gaia DR3 5037612221455242880,DA,11624.0,8.229
Gaia DR3 5037778831826841984,DA,25795.0,7.731
Gaia DR3 503780559806502272,DA,8984.0,8.435
Gaia DR3 5037827180274270848,DA,9075.0,8.353
Gaia DR3 5037951901829138688,DA,6827.0,8.027
Gaia DR3 5038088760962361856,DA,13311.0,7.998
Gaia DR3 503824304051041664,DA,18162.0,7.685
Gaia DR3 5038246089908917248,DA,7913.0,7.751
Gaia DR3 5038260211761605888,DA,11079.0,8.167
Gaia DR3 5038318451518073856,DA,21514.0,8.289
Gaia DR3 5038499836576446336,DA,25898.0,7.958
Gaia DR3 5038503414285564160,DA,8067.0,8.308
Gaia DR3 5038546806339071872,DA,9678.0,8.379
Gaia DR3 5038640780223322880,DA,,
Gaia DR3 5038793646699795072,DA,12127.0,7.253
Gaia DR3 5038815980529775360,DA,10736.0,7.952
Gaia DR3 5038900368046768896,DA,16575.0,8.028
Gaia DR3 5039064199574150144,DA,6492.0,8.007
Gaia DR3 5039115013332382976,DA,8730.0,8.135
Gaia DR3 5039122366316461440,DA,6494.0,7.276
Gaia DR3 5039185691314121600,DA,,
Gaia DR3 5039201324995660544,DA,15585.0,8.082
Gaia DR3 5039224625193405440,DA,13505.0,8.123
Gaia DR3 5039296711924622976,DA,20288.0,8.115
Gaia DR3 5039307603961661696,DA,5461.0,7.816
Gaia DR3 5039311241798480512,DA,12898.0,7.999
Gaia DR3 5039316743652085504,DA,4950.0,7.462
Gaia DR3 5039436620483896320,DA,6974.0,8.231
Gaia DR3 5039487575975328512,DA,8073.0,8.08
Gaia DR3 5039503488830284928,DA,9825.0,8.002
Gaia DR3 5039595499913657600,DA:,9523.0,8.177
Gaia DR3 5039682842368479872,DA,15193.0,7.261
Gaia DR3 503978888512969600,DA,14171.0,8.075
Gaia DR3 5039818739429492096,DA,17914.0,7.995
Gaia DR3 5039868561050136320,DA,11872.0,7.937
Gaia DR3 503990978844945664,DA,19012.0,7.8
Gaia DR3 5039931267572069120,DA,5961.0,8.112
Gaia DR3 5040091379657621248,DA,12596.0,8.137
Gaia DR3 5040092273010820480,DA,14412.0,7.944
Gaia DR3 5040160133494519040,DA,9482.0,7.756
Gaia DR3 5040256993597026816,DA,20823.0,8.125
Gaia DR3 504027640684991616,DA,10401.0,7.703
Gaia DR3 5040350456380859776,DA,12099.0,7.96
Gaia DR3 5040471982479801216,DA,9935.0,8.163
Gaia DR3 5040636118950212864,DA,7072.0,7.598
Gaia DR3 5040642475501786496,DA,9213.0,8.135
Gaia DR3 5040747032185527040,DA,11096.0,8.198
Gaia DR3 5040771187081319808,DA,22136.0,8.325
Gaia DR3 5040785485028162944,DA,13724.0,8.048
Gaia DR3 5040828602204202880,DA,10153.0,8.028
Gaia DR3 5040852898834882688,DA,13011.0,8.1
Gaia DR3 5041018130521023872,DA,12389.0,8.117
Gaia DR3 5041020260824809984,DA,12643.0,8.142
Gaia DR3 5041100838707045632,DA,8445.0,8.177
Gaia DR3 5041118941993545600,DA,8611.0,8.279
Gaia DR3 5041155603834525952,DA,14239.0,7.876
Gaia DR3 504121855087656448,DA:,7451.0,7.749
Gaia DR3 5041268200697001600,DA,5923.0,8.388
Gaia DR3 504140374986694528,DA,9569.0,8.042
Gaia DR3 5041533801474414336,DA,6083.0,7.969
Gaia DR3 5041585134924024832,DA:,4454.0,7.167
Gaia DR3 5041649903030795520,DA,7296.0,7.905
Gaia DR3 5041908700580084864,DA,5500.0,8.054
Gaia DR3 504194044898473856,DA,11590.0,7.968
Gaia DR3 504208819586257792,DA,8321.0,7.071
Gaia DR3 5042184162602628608,DA,16440.0,7.97
Gaia DR3 5042282912490718848,DA,8099.0,8.083
Gaia DR3 5042565452618950656,DA,6006.0,8.071
Gaia DR3 5042689255052607616,DA,21229.0,7.729
Gaia DR3 504277302840857344,DA,11635.0,7.532
Gaia DR3 5043236773187655168,DA,4876.0,7.273
Gaia DR3 5043289893342685056,DA,7535.0,8.027
Gaia DR3 5043356894832405632,DA,6317.0,8.0
Gaia DR3 5043471282697529856,DA,7199.0,8.025
Gaia DR3 5043530656324551936,DA,16072.0,8.03
Gaia DR3 5043539001446104576,DA,6331.0,8.095
Gaia DR3 5043637579535169280,DA,5557.0,8.048
Gaia DR3 5043641741359547264,DA,19529.0,8.092
Gaia DR3 5043749527859327872,DA,8493.0,7.871
Gaia DR3 5043781271961062144,DA,9993.0,8.052
Gaia DR3 5043922696644412800,DA,6942.0,7.866
Gaia DR3 5043978806097162624,DA,6122.0,8.086
Gaia DR3 5044112018802817920,DA,9943.0,8.124
Gaia DR3 5044161496826324864,DA:,7219.0,8.139
Gaia DR3 5044210699971259008,DA,12308.0,7.445
Gaia DR3 5044294198431730304,DA,11394.0,8.089
Gaia DR3 5044599617849690624,DA,20117.0,8.116
Gaia DR3 5044656620655968128,DA,12487.0,8.059
Gaia DR3 5044718884798575744,DA,5470.0,7.193
Gaia DR3 5044724347996971264,DA,9455.0,8.027
Gaia DR3 5045013343459954816,DA,11847.0,7.641
Gaia DR3 5045097559178646784,DA,12790.0,7.632
Gaia DR3 5045228366702117888,DA,11472.0,7.839
Gaia DR3 5045251769980563968,DA,15515.0,8.179
Gaia DR3 5045580828898233600,DA,12175.0,8.133
Gaia DR3 5045603849923001600,DA,19323.0,7.96
Gaia DR3 5045734936621468288,DA,11783.0,8.093
Gaia DR3 5045758331307144832,DA,8901.0,8.149
Gaia DR3 5045818980541903872,DA:,9075.0,7.982
Gaia DR3 5045876563166386688,DA,8054.0,8.112
Gaia DR3 5045929545885404160,DA,15921.0,8.109
Gaia DR3 5046189099346966528,DA,12021.0,7.765
Gaia DR3 5046216930734786944,DA,19397.0,7.62
Gaia DR3 5046562589703329792,DA,10505.0,8.135
Gaia DR3 5046661133432838912,DA,9052.0,7.615
Gaia DR3 5046662443398979328,DA,14748.0,7.929
Gaia DR3 5046742845187385984,DA,6063.0,7.065
Gaia DR3 5046858633208944768,DA,18492.0,7.623
Gaia DR3 504685938912308224,DA,21047.0,7.868
Gaia DR3 5046893439623396992,DA:,7847.0,8.334
Gaia DR3 5047279956617465472,DA,24471.0,7.947
Gaia DR3 5047333931469885952,DA,17972.0,7.855
Gaia DR3 5047428111512149632,DA,53031.0,7.934
Gaia DR3 5047442920559581440,DA,27060.0,8.191
Gaia DR3 5047506348636835328,DA,11964.0,8.302
Gaia DR3 5047560224706623872,DA,7904.0,8.079
Gaia DR3 5047566890495938560,DA,17774.0,7.96
Gaia DR3 5047757793202041984,DA,11743.0,7.992
Gaia DR3 5047804801620334336,DA,8763.0,8.143
Gaia DR3 5047905372574498816,DA,15842.0,7.897
Gaia DR3 5048065763833792128,DA,11832.0,8.255
Gaia DR3 5048143412545952768,DA,17569.0,7.921
Gaia DR3 5048193234166592896,DA:,5112.0,7.771
Gaia DR3 5048205917206715392,DA,14319.0,8.177
Gaia DR3 5048281542990609152,DA,12915.0,7.868
Gaia DR3 5048302944811051008,DA,22468.0,7.935
Gaia DR3 5048344554454196096,DA,22472.0,7.869
Gaia DR3 5048365135937583744,DA,5250.0,7.561
Gaia DR3 5048393070405011584,DA,21978.0,8.021
Gaia DR3 5048472063443310464,DA,8473.0,8.425
Gaia DR3 5048542844504356736,DA,7261.0,8.093
Gaia DR3 5048602355571627776,DA,10183.0,8.117
Gaia DR3 5048616133826528640,DA,9649.0,7.173
Gaia DR3 5048630637932297984,DA,5868.0,7.332
Gaia DR3 504881445826367232,DA,8943.0,7.903
Gaia DR3 504887256924573440,DA,15744.0,7.912
Gaia DR3 504897633566615936,DA,10057.0,7.4
Gaia DR3 5049158708454941952,DA,9751.0,8.429
Gaia DR3 5049203650992899712,DA:,7019.0,8.376
Gaia DR3 504932401318991872,DA,26102.0,7.429
Gaia DR3 5049501309406156928,DA,7362.0,7.138
Gaia DR3 5049578996774790784,DA,7592.0,7.969
Gaia DR3 5049602052159215744,DA,17688.0,7.934
Gaia DR3 5049899229536142976,DA,13780.0,7.91
Gaia DR3 5050148475078910976,DA,6592.0,7.208
Gaia DR3 5050412564027102336,DA,5041.0,7.784
Gaia DR3 5050463072842849536,DA,12277.0,7.896
Gaia DR3 5050479634236828416,DA,12367.0,8.092
Gaia DR3 5050489083164873600,DA,40660.0,8.029
Gaia DR3 5050507499984459520,DA,8005.0,8.501
Gaia DR3 5050748331688320768,DA,5891.0,8.147
Gaia DR3 5050853983586237184,DA,17566.0,8.035
Gaia DR3 5050946342563404800,DA,9820.0,8.766
Gaia DR3 5051031765168726784,DA,9564.0,8.059
Gaia DR3 5051067529359899264,DA,6913.0,8.007
Gaia DR3 505121379877476736,DA,13516.0,7.944
Gaia DR3 505123651914894848,DA,11729.0,7.93
Gaia DR3 505128217467873408,DA,6863.0,7.883
Gaia DR3 505139143865066368,DA,7390.0,7.985
Gaia DR3 505148936387972352,DA,6336.0,8.161
Gaia DR3 5051654432347756672,DA,13472.0,7.711
Gaia DR3 5051788327951386112,DA,15903.0,8.075
Gaia DR3 5051796544225845632,DA,9541.0,7.863
Gaia DR3 505183506590204288,DA,10424.0,7.151
Gaia DR3 5051982563552825728,DA,11906.0,8.11
Gaia DR3 5052071727073683712,DA,6602.0,8.402
Gaia DR3 5052074033473218048,DA,11776.0,7.985
Gaia DR3 5052184220856934400,DA,7611.0,8.04
Gaia DR3 5052214663585428608,DA,37157.0,7.938
Gaia DR3 5052274144589778048,DA,14952.0,8.202
Gaia DR3 5052274728705956096,DA,13008.0,7.796
Gaia DR3 5052308706188921856,DA,17836.0,8.04
Gaia DR3 5052332036451406464,DA:,7924.0,8.186
Gaia DR3 5052343654340800000,DA,9151.0,8.424
Gaia DR3 5052351449703527040,DA,21533.0,8.062
Gaia DR3 5052526168973331712,DA,10459.0,8.158
Gaia DR3 50526755482496000,DA:,13126.0,8.884
Gaia DR3 505272665808610304,DA,9468.0,8.188
Gaia DR3 5052806548736450816,DA,30910.0,7.463
Gaia DR3 5052918144868328448,DA,6303.0,8.254
Gaia DR3 5053019574816384896,DA,6050.0,7.865
Gaia DR3 5053182989732415232,DA,21626.0,7.806
Gaia DR3 5053186803663395456,DA,20790.0,8.169
Gaia DR3 5053332866912186496,DA,5662.0,8.215
Gaia DR3 505334685134343168,DA,26298.0,7.584
Gaia DR3 5053377809448341248,DA,7135.0,8.045
Gaia DR3 5053467900682576000,DA,5339.0,7.953
Gaia DR3 5053572491726393728,DA,19949.0,7.901
Gaia DR3 5053630834562279552,DA,6220.0,7.933
Gaia DR3 5053672684722897408,DA,15739.0,8.065
Gaia DR3 505391928465419520,DA,5954.0,8.08
Gaia DR3 5054047141448504192,DA,16298.0,7.816
Gaia DR3 5054244843086436736,DA,7032.0,8.478
Gaia DR3 5054291881568480000,DA,12965.0,8.95
Gaia DR3 5054337648740060928,DA,11420.0,8.045
Gaia DR3 5054419326134418176,DA,11142.0,7.888
Gaia DR3 5054520751785790848,DA,17653.0,7.988
Gaia DR3 5054580537730199936,DA,5613.0,7.552
Gaia DR3 5054782160675150848,DA,10018.0,7.993
Gaia DR3 5054791545179993344,DA,13334.0,7.753
Gaia DR3 5054819651444580864,DA,5611.0,7.879
Gaia DR3 5054841568662534272,DA,22760.0,7.548
Gaia DR3 5055026492774452864,DA,24345.0,9.282
Gaia DR3 5055029172833947520,DA,6354.0,8.135
Gaia DR3 5055039274597140480,DA,32395.0,6.921
Gaia DR3 5055108818707684096,DA:,7818.0,7.671
Gaia DR3 5055134592807969664,DA,6174.0,8.233
Gaia DR3 5055164520140153088,DA,15170.0,7.904
Gaia DR3 5055173488031879296,DA,32341.0,7.426
Gaia DR3 505548166489468672,DA,26734.0,7.163
Gaia DR3 5055566215545415552,DA,12542.0,8.183
Gaia DR3 5055694995844521600,DA,23397.0,7.964
Gaia DR3 5055747944201353856,DA,13090.0,8.307
Gaia DR3 505576268454914304,DA,13224.0,7.903
Gaia DR3 5055787801497769088,DA,18714.0,8.06
Gaia DR3 5055864492433416832,DA,11945.0,8.049
Gaia DR3 5055891293029408256,DA,7533.0,8.055
Gaia DR3 5055932769530255104,DA,,
Gaia DR3 5055987431577910912,DA,10768.0,8.221
Gaia DR3 505619286853984640,DA,9309.0,7.93
Gaia DR3 5056368515435665664,DA,5935.0,8.211
Gaia DR3 5056574089750244608,DA,12835.0,8.114
Gaia DR3 5056598661259691008,DA,10194.0,8.017
Gaia DR3 5056644600229849600,DA,17495.0,8.072
Gaia DR3 5056665692812959488,DA,7862.0,8.024
Gaia DR3 5056667891836216192,DA,12108.0,7.388
Gaia DR3 5056691363833748352,DA,12153.0,7.924
Gaia DR3 5056790934059124608,DA,20067.0,8.029
Gaia DR3 505686601876353792,DA,14973.0,7.923
Gaia DR3 5056895628182302976,DA,9537.0,7.856
Gaia DR3 5057365394524797952,DA,16902.0,7.966
Gaia DR3 505769782503307648,DA,16965.0,7.669
Gaia DR3 5058157558293241600,DA,6990.0,8.314
Gaia DR3 5058227652159601024,DA,8214.0,8.066
Gaia DR3 505831217714392960,DA,9716.0,7.918
Gaia DR3 505876194617737600,DA,7939.0,7.669
Gaia DR3 5058790572050154112,DA,9190.0,7.538
Gaia DR3 5058808503536665472,DA,26310.0,8.09
Gaia DR3 5058984665915285760,DA,8827.0,8.062
Gaia DR3 5059024699309163008,DA,17098.0,8.086
Gaia DR3 5059049743259811968,DA,6180.0,8.14
Gaia DR3 505908011727919360,DA:,5221.0,8.055
Gaia DR3 5059171381028408448,DA,7757.0,8.125
Gaia DR3 505920037636556800,DA,12244.0,8.418
Gaia DR3 5059331561834087296,DA,6223.0,8.167
Gaia DR3 5059337815305871360,DA,11216.0,7.54
Gaia DR3 5059366372547261696,DA,22032.0,8.199
Gaia DR3 5059405022954216960,DA,8826.0,8.126
Gaia DR3 5059421172031330048,DA,7892.0,8.507
Gaia DR3 5059824624079080832,DA,9641.0,8.643
Gaia DR3 5059924679637780352,DA,16061.0,8.132
Gaia DR3 5059958901936577792,DA,6001.0,7.434
Gaia DR3 5060132663431830144,DA,14684.0,7.996
Gaia DR3 5060153103178212480,DA,10948.0,8.211
Gaia DR3 506022743198118400,DA,10299.0,7.676
Gaia DR3 5060277798964008320,DA,14359.0,8.161
Gaia DR3 5060384172418335488,DA,25732.0,8.017
Gaia DR3 5060446672782990336,DA,9983.0,8.586
Gaia DR3 5060591743894776448,DA,11670.0,8.057
Gaia DR3 5060720730350883712,DA,11556.0,7.66
Gaia DR3 5060862189396279552,DA,9377.0,7.786
Gaia DR3 506087919318696192,DA,9613.0,8.08
Gaia DR3 506096028217223808,DA,7875.0,8.021
Gaia DR3 5061002682068796928,DA,8422.0,8.022
Gaia DR3 5061342259363192320,DA,9766.0,7.681
Gaia DR3 5061506773790595072,DA,8916.0,7.912
Gaia DR3 506155818464322176,DA,7871.0,7.924
Gaia DR3 5061594837799780096,DA,11571.0,7.941
Gaia DR3 5061663080535801600,DA:,5107.0,7.749
Gaia DR3 506170313973870848,DA,17766.0,8.113
Gaia DR3 5061713378897151616,DA,10047.0,8.074
Gaia DR3 5061747399338620544,DA,25912.0,7.71
Gaia DR3 5061756672167690240,DA,43941.0,7.85
Gaia DR3 5061760971435235584,DA,8562.0,8.07
Gaia DR3 5061769625788976128,DA,5826.0,8.034
Gaia DR3 5061797938215087104,DA,26637.0,9.052
Gaia DR3 5062199947155928448,DA,26201.0,8.044
Gaia DR3 5062377071603746432,DA,15885.0,7.826
Gaia DR3 5062485652674484480,DA,10656.0,7.867
Gaia DR3 5062595599539520000,DA,14109.0,7.592
Gaia DR3 5062600238104194048,DA,7914.0,7.989
Gaia DR3 5062679849617890176,DA,10335.0,8.017
Gaia DR3 5062795401418753408,DA,15448.0,7.976
Gaia DR3 5062833025332351872,DA,7027.0,8.065
Gaia DR3 5062873535463157760,DA,11343.0,8.197
Gaia DR3 5062959129870034560,DA,18232.0,8.046
Gaia DR3 5063109346347744384,DA:,7077.0,7.931
Gaia DR3 5063174595491037312,DA,12233.0,8.049
Gaia DR3 5063253111790476800,DA,8409.0,8.215
Gaia DR3 5063260185599422336,DA,12307.0,7.454
Gaia DR3 5063316986547228672,DA,5683.0,7.32
Gaia DR3 5063480985576521856,DA:,8158.0,7.873
Gaia DR3 5063521530067779328,DA:,7376.0,8.39
Gaia DR3 5063625910654378496,DA,10892.0,8.073
Gaia DR3 5063896326091796352,DA,8189.0,7.969
Gaia DR3 5064588365581099264,DA,5976.0,7.954
Gaia DR3 5064621346634946944,DA,7177.0,8.073
Gaia DR3 5064644406316137600,DA,7644.0,7.192
Gaia DR3 506471893697130112,DA,13496.0,7.955
Gaia DR3 5064737521205540736,DA:,5734.0,7.873
Gaia DR3 5064980577699694976,DA,6958.0,8.186
Gaia DR3 5065077304657629184,DA,11697.0,8.371
