Lyman-alpha wing opacity induced by collisions H-H2.                            
This is based on quasi-static theory and includes Doppler broadening.           
The cross section sigma[cm^2] was given in the form: LOG_10 (sigma)
per emitter per perturber [cm^5]!
D.K. obtained from http://www.icate-conicet.gob.ar/rohrmann/tables.html         
sigma was multiplied by 88.53e-30**1215.671)**2 to transform the cross
section to a line profile, and additionally by e18 for numerical reasons.
This is reversed in the code by eta(n,l).
The normalization in profdata is like the other Balmer lines by multiplying
with perturber density/e18. D.K. fecit 20200528.
    7  number of tables
    21.00 perturber density  nH2
    8 number of temperatures 
      1000   2000   3000   4000   6000   8000  10000  15000 [K]
      ...
      lambda                   P(nH2,T)
--------------------------------------------------------------------------------
    7            / no of perturber density tables                               
  3721.43 -11.3358  -6.0559  -4.2426  -3.3272  -2.4066  -1.9445  -1.6668  -1.2959
  3818.57 -11.5219  -6.2037  -4.3584  -3.4204  -2.4728  -1.9957  -1.7085  -1.3243
  3915.71 -11.8459  -6.3907  -4.4930  -3.5252  -2.5448  -2.0501  -1.7520  -1.3529
  4012.86 -12.2301  -6.6123  -4.6520  -3.6502  -2.6340  -2.1206  -1.8110  -1.3963
  4110.00 -12.5745  -6.8381  -4.8206  -3.7847  -2.7309  -2.1978  -1.8760  -1.4449
  4207.14 -12.8895  -7.0588  -4.9995  -3.9345  -2.8452  -2.2918  -1.9572  -1.5082
  4304.29 -13.1823  -7.2663  -5.1787  -4.0904  -2.9672  -2.3924  -2.0435  -1.5737
  4401.43 -13.4582  -7.4501  -5.3386  -4.2328  -3.0821  -2.4885  -2.1265  -1.6374
  4498.57 -13.7193  -7.6014  -5.4456  -4.3108  -3.1235  -2.5081  -2.1319  -1.6225
  4595.71 -13.9702  -7.7731  -5.6176  -4.4933  -3.3083  -2.6658  -2.2486  -1.6368
  4692.86 -14.2102  -7.9249  -5.7510  -4.6201  -3.4408  -2.8264  -2.4456  -1.9058
  4790.00 -14.4378  -8.0645  -5.8705  -4.7322  -3.5434  -2.9218  -2.5379  -2.0105
  4887.14 -14.6566  -8.1979  -5.9844  -4.8381  -3.6374  -3.0028  -2.6066  -2.0554
  4984.29 -14.8663  -8.3224  -6.0881  -4.9350  -3.7328  -3.0984  -2.7008  -2.1427
  5081.43 -15.0674  -8.4396  -6.1835  -5.0212  -3.8131  -3.1780  -2.7798  -2.2192
  5178.57 -15.2629  -8.5522  -6.2681  -5.0852  -3.8483  -3.1982  -2.7922  -2.2234
  5275.71 -15.3456  -8.5595  -6.2705  -5.0956  -3.8725  -3.2313  -2.8323  -2.2757
  5372.86 -15.6310  -8.7652  -6.4526  -5.2643  -4.0201  -3.3631  -2.9527  -2.3783
  5470.00 -15.7609  -8.7657  -6.4211  -5.2284  -3.9936  -3.3459  -2.9418  -2.3762
  5567.14 -16.0558  -8.9240  -6.5368  -5.3257  -4.0744  -3.4189  -3.0108  -2.4428
  5664.29 -16.3438  -9.0784  -6.6488  -5.4185  -4.1501  -3.4858  -3.0718  -2.4947
  5761.43 -16.6196  -9.2263  -6.7556  -5.5067  -4.2216  -3.5490  -3.1296  -2.5440
  5858.57 -16.8885  -9.3706  -6.8599  -5.5932  -4.2931  -3.6132  -3.1888  -2.5948
  5955.71 -17.1469  -9.5093  -6.9608  -5.6798  -4.3768  -3.7035  -3.2862  -2.7038
  6052.86 -17.3983  -9.6442  -7.0573  -5.7579  -4.4379  -3.7569  -3.3355  -2.7516
  6150.00 -17.6410  -9.7745  -7.1505  -5.8333  -4.4966  -3.8076  -3.3813  -2.7899
  6746.25 -18.9866 -10.4983  -7.6680  -6.2488  -4.8098  -4.0645  -3.5991  -2.9450
  7342.50 -20.1834 -11.2236  -8.2368  -6.7421  -5.2370  -4.4654  -3.9851  -3.3053
  7938.75 -21.0482 -11.6882  -8.5681  -7.0078  -5.4448  -4.6572  -4.1782  -3.5206
  8535.00 -21.7953 -12.0908  -8.8560  -7.2383  -5.6181  -4.8023  -4.3062  -3.6248
  9131.25 -22.5923 -12.4252  -9.0361  -7.3415  -5.6459  -4.7958  -4.2832  -3.5907
  9727.50 -23.4739 -12.8963  -9.3704  -7.6074  -5.8430  -4.9578  -4.4232  -3.6994
 10323.75 -24.4080 -13.4675  -9.8206  -7.9969  -6.1708  -5.2526  -4.6958  -3.9355
 10920.00 -25.0053 -13.7879 -10.0488  -8.1789  -6.3064  -5.3644  -4.7928  -4.0129
 11516.25 -25.5414 -14.0762 -10.2545  -8.3436  -6.4320  -5.4747  -4.8986  -4.1247
 12112.50 -26.0281 -14.3386 -10.4421  -8.4937  -6.5444  -5.5677  -4.9794  -4.1874
 12708.75 -26.4680 -14.5762 -10.6123  -8.6302  -6.6468  -5.6523  -5.0526  -4.2433
 13305.00 -26.8714 -14.7947 -10.7691  -8.7561  -6.7414  -5.7303  -5.1197  -4.2936
 13901.25 -27.2412 -14.9953 -10.9134  -8.8721  -6.8286  -5.8022  -5.1812  -4.3385
 14497.50 -27.5801 -15.1797 -11.0461  -8.9791  -6.9091  -5.8682  -5.2374  -4.3783
 15093.75 -27.8941 -15.3508 -11.1696  -9.0787  -6.9843  -5.9300  -5.2900  -4.4154
 15690.00 -28.1846 -15.5094 -11.2843  -9.1713  -7.0544  -5.9877  -5.3389  -4.4492
 16286.25 -28.4544 -15.6571 -11.3913  -9.2579  -7.1201  -6.0419  -5.3849  -4.4810
 16882.50 -28.7051 -15.7946 -11.4910  -9.3387  -7.1818  -6.0931  -5.4287  -4.5117
 17478.75 -28.9403 -15.9238 -11.5849  -9.4150  -7.2403  -6.1419  -5.4708  -4.5420
 18075.00 -29.1607 -16.0451 -11.6732  -9.4869  -7.2956  -6.1886  -5.5115  -4.5721
 18671.25 -29.3670 -16.1589 -11.7562  -9.5545  -7.3480  -6.2331  -5.5508  -4.6021
 19267.50 -29.5607 -16.2660 -11.8344  -9.6183  -7.3976  -6.2757  -5.5888  -4.6319
 19863.75 -29.7432 -16.3671 -11.9084  -9.6787  -7.4447  -6.3163  -5.6253  -4.6612
 20460.00 -29.9161 -16.4630 -11.9786  -9.7362  -7.4898  -6.3558  -5.6616  -4.6925
 21056.25 -30.0793 -16.5538 -12.0452  -9.7907  -7.5325  -6.3927  -5.6948  -4.7191
 21652.50 -30.2336 -16.6397 -12.1083  -9.8424  -7.5725  -6.4262  -5.7237  -4.7401
 22248.75 -30.3804 -16.7216 -12.1686  -9.8919  -7.6107  -6.4581  -5.7510  -4.7595
 22845.00 -30.5197 -16.7995 -12.2260  -9.9390  -7.6472  -6.4885  -5.7769  -4.7779
 23441.25 -30.6523 -16.8737 -12.2808  -9.9840  -7.6821  -6.5175  -5.8017  -4.7954
 24037.50 -30.7788 -16.9447 -12.3333 -10.0272  -7.7157  -6.5454  -5.8254  -4.8120
 24633.75 -30.8986 -17.0121 -12.3832 -10.0683  -7.7475  -6.5718  -5.8479  -4.8278
 25230.00 -31.0139 -17.0770 -12.4313 -10.1080  -7.7784  -6.5974  -5.8696  -4.8431
 25826.25 -31.1232 -17.1386 -12.4770 -10.1457  -7.8077  -6.6218  -5.8902  -4.8574
 26422.50 -31.2287 -17.1982 -12.5214 -10.1824  -7.8362  -6.6454  -5.9101  -4.8710
 27018.75 -31.3297 -17.2554 -12.5639 -10.2176  -7.8636  -6.6680  -5.9293  -4.8845
 27615.00 -31.4262 -17.3101 -12.6047 -10.2513  -7.8899  -6.6897  -5.9476  -4.8971
 28211.25 -31.5188 -17.3627 -12.6439 -10.2839  -7.9153  -6.7107  -5.9651  -4.9093
 28807.50 -31.6077 -17.4133 -12.6817 -10.3152  -7.9397  -6.7308  -5.9820  -4.9209
 29403.75 -31.6936 -17.4622 -12.7183 -10.3456  -7.9634  -6.7503  -5.9984  -4.9322
 30000.00 -31.7764 -17.5095 -12.7538 -10.3750  -7.9864  -6.7692  -6.0141  -4.9431
   21.699    132      8   1000   2000   3000   4000   6000   8000  10000  15000
  1216.50   2.3063   2.2273   2.1666   2.1155   2.0298   1.9575   1.8938   1.7583
  1217.00   2.5081   2.5075   2.5070   2.5066   2.5059   2.5054   2.5049   2.5038
  1218.00   2.2107   2.2113   2.2117   2.2121   2.2127   2.2133   2.2137   2.2147
  1219.00   2.2085   2.2084   2.2083   2.2082   2.2081   2.2080   2.2080   2.2078
  1230.00   1.6290   1.6291   1.6292   1.6292   1.6293   1.6294   1.6295   1.6296
  1250.00   1.4234   1.4450   1.4523   1.4559   1.4596   1.4615   1.4626   1.4641
  1267.90   1.2123   1.2820   1.3053   1.3170   1.3288   1.3346   1.3381   1.3428
  1297.54   0.9523   1.0902   1.1363   1.1593   1.1823   1.1938   1.2007   1.2100
  1327.18   0.6523   0.8536   0.9208   0.9544   0.9881   1.0049   1.0150   1.0284
  1356.83   0.3646   0.6375   0.7287   0.7744   0.8201   0.8429   0.8567   0.8750
  1386.47   0.1801   0.5273   0.6433   0.7014   0.7595   0.7885   0.8060   0.8292
  1416.11  -0.1811   0.2401   0.3815   0.4524   0.5235   0.5591   0.5805   0.6090
  1445.75  -0.3470   0.1476   0.3142   0.3978   0.4817   0.5237   0.5489   0.5826
  1475.39  -0.5333   0.0343   0.2257   0.3219   0.4184   0.4668   0.4958   0.5346
  1505.04  -0.7976  -0.1122   0.1167   0.2313   0.3459   0.4032   0.4376   0.4835
  1534.68  -1.0208  -0.2588  -0.0045   0.1227   0.2499   0.3136   0.3517   0.4027
  1564.32  -1.1821  -0.3437  -0.0640   0.0758   0.2157   0.2856   0.3276   0.3835
  1593.96  -1.4696  -0.5637  -0.2613  -0.1101   0.0413   0.1170   0.1624   0.2230
  1623.60  -1.6188  -0.6501  -0.3262  -0.1641  -0.0019   0.0793   0.1280   0.1930
  1653.25  -1.7583  -0.7294  -0.3845  -0.2118  -0.0388   0.0478   0.0998   0.1691
  1682.89  -1.9502  -0.8332  -0.4595  -0.2723  -0.0850   0.0087   0.0649   0.1400
  1712.53  -2.1408  -0.9336  -0.5300  -0.3280  -0.1259  -0.0248   0.0359   0.1168
  1742.17  -2.3409  -1.0477  -0.6158  -0.3996  -0.1834  -0.0752  -0.0103   0.0763
